rd,km,lat,lon
7,0,13.599,100.954
7,0,13.741,100.642
7,0,13.731,100.761
7,0,13.731,100.761
7,0,13.298,100.995
7,0,13.298,100.995
7,0,13.298,100.995
7,0,13.599,100.954
7,0,13.298,100.995
7,0,13.599,100.954
7,0,13.599,100.954
7,0,13.118,100.985
7,0,13.118,100.985
7,0,13.599,100.954
7,0,13.599,100.954
7,0,13.599,100.954
7,1,13.591,100.953
7,1,13.591,100.953
7,1,13.74,100.651
7,1,13.116,100.976
7,1,13.308,100.993
7,1,13.74,100.651
7,1,13.74,100.651
7,1,13.591,100.953
7,2,13.114,100.967
7,2,13.114,100.967
7,2,13.738,100.66
7,2,13.738,100.66
7,2,13.738,100.66
7,2,13.317,100.992
7,2,13.582,100.951
7,2,13.582,100.951
7,2,13.582,100.951
7,3,13.327,100.99
7,3,13.737,100.669
7,3,13.737,100.669
7,3,13.737,100.669
7,3,13.327,100.99
7,3,13.573,100.95
7,3,13.573,100.95
7,3,13.573,100.95
7,3,13.113,100.958
7,4,13.564,100.949
7,4,13.564,100.949
7,4,13.564,100.949
7,4,13.564,100.949
7,4,13.735,100.678
7,4,13.111,100.949
7,4,13.111,100.949
7,4,13.735,100.678
7,4,13.735,100.678
7,5,13.734,100.687
7,5,13.734,100.687
7,5,13.734,100.687
7,5,13.11,100.939
7,5,13.11,100.939
7,6,13.733,100.696
7,6,13.11,100.93
7,7,13.106,100.922
7,7,13.732,100.706
7,8,13.103,100.913
7,8,13.731,100.715
7,8,13.731,100.715
7,8,13.731,100.715
7,9,13.73,100.724
7,9,13.73,100.724
7,9,13.73,100.724
7,10,13.729,100.733
7,10,13.729,100.733
7,10,13.729,100.733
7,11,13.729,100.742
7,12,13.73,100.752
7,13,13.731,100.761
7,13,13.731,100.761
7,14,13.732,100.77
7,14,13.732,100.77
7,14,13.732,100.77
7,15,13.732,100.779
7,15,13.732,100.779
7,15,13.732,100.779
7,16,13.733,100.788
7,16,13.733,100.788
7,16,13.733,100.788
7,17,13.734,100.797
7,17,13.734,100.797
7,17,13.734,100.797
7,18,13.733,100.807
7,18,13.733,100.807
7,18,13.733,100.807
7,19,13.726,100.812
7,19,13.726,100.812
7,19,13.726,100.812
7,20,13.718,100.816
7,20,13.718,100.816
7,20,13.718,100.816
7,21,13.71,100.82
7,21,13.71,100.82
7,21,13.71,100.82
7,22,13.701,100.824
7,22,13.701,100.824
7,22,13.701,100.824
7,22,13.701,100.824
7,23,13.693,100.828
7,23,13.693,100.828
7,23,13.693,100.828
7,23,13.693,100.828
7,24,13.685,100.833
7,24,13.685,100.833
7,24,13.685,100.833
7,24,13.685,100.833
7,25,13.677,100.837
7,25,13.677,100.837
7,25,13.677,100.837
7,26,13.67,100.843
7,26,13.67,100.843
7,26,13.67,100.843
7,27,13.665,100.851
7,27,13.665,100.851
7,27,13.665,100.851
7,28,13.66,100.859
7,28,13.66,100.859
7,28,13.66,100.859
7,29,13.655,100.867
7,29,13.655,100.867
7,29,13.655,100.867
7,30,13.65,100.874
7,30,13.65,100.874
7,30,13.65,100.874
7,31,13.645,100.882
7,31,13.645,100.882
7,31,13.645,100.882
7,32,13.64,100.89
7,32,13.64,100.89
7,32,13.64,100.89
7,33,13.635,100.898
7,33,13.635,100.898
7,33,13.635,100.898
7,34,13.63,100.905
7,34,13.63,100.905
7,34,13.63,100.905
7,34,13.63,100.905
7,35,13.625,100.913
7,35,13.625,100.913
7,35,13.625,100.913
7,35,13.625,100.913
7,35,13.625,100.913
7,35,13.625,100.913
7,36,13.621,100.921
7,36,13.621,100.921
7,36,13.621,100.921
7,36,13.621,100.921
7,37,13.616,100.929
7,37,13.616,100.929
7,37,13.616,100.929
7,38,13.611,100.936
7,38,13.611,100.936
7,38,13.611,100.936
7,38,13.611,100.936
7,39,13.606,100.944
7,39,13.606,100.944
7,39,13.606,100.944
7,40,13.601,100.952
7,40,13.601,100.952
7,40,13.601,100.952
7,41,13.596,100.959
7,41,13.596,100.959
7,41,13.596,100.959
7,42,13.59,100.966
7,42,13.59,100.966
7,42,13.59,100.966
7,43,13.583,100.972
7,43,13.583,100.972
7,43,13.583,100.972
7,44,13.576,100.978
7,44,13.576,100.978
7,44,13.576,100.978
7,44,13.576,100.978
7,45,13.569,100.984
7,45,13.569,100.984
7,45,13.569,100.984
7,45,13.569,100.984
7,46,13.562,100.99
7,46,13.562,100.99
7,46,13.562,100.99
7,47,13.555,100.996
7,47,13.555,100.996
7,47,13.555,100.996
7,48,13.548,101.001
7,48,13.548,101.001
7,49,13.541,101.007
7,49,13.541,101.007
7,49,13.541,101.007
7,50,13.534,101.013
7,50,13.534,101.013
7,50,13.534,101.013
7,50,13.534,101.013
7,51,13.527,101.019
7,51,13.527,101.019
7,51,13.527,101.019
7,52,13.52,101.025
7,52,13.52,101.025
7,53,13.513,101.031
7,53,13.513,101.031
7,53,13.513,101.031
7,53,13.513,101.031
7,54,13.506,101.037
7,54,13.506,101.037
7,54,13.506,101.037
7,55,13.499,101.042
7,55,13.499,101.042
7,55,13.499,101.042
7,55,13.499,101.042
7,56,13.492,101.047
7,56,13.492,101.047
7,56,13.492,101.047
7,57,13.482,101.046
7,57,13.482,101.046
7,57,13.482,101.046
7,58,13.473,101.046
7,58,13.473,101.046
7,58,13.473,101.046
7,59,13.464,101.046
7,59,13.464,101.046
7,59,13.464,101.046
7,60,13.455,101.046
7,60,13.455,101.046
7,60,13.455,101.046
7,61,13.446,101.046
7,61,13.446,101.046
