rd,km,lat,lon
2,212,15.379,102.461
2,213,15.387,102.466
2,214,15.395,102.47
2,215,15.403,102.474
2,216,15.411,102.478
2,217,15.419,102.482
2,217,15.419,102.482
2,218,15.427,102.487
2,219,15.435,102.491
2,220,15.443,102.495
2,221,15.451,102.499
2,222,15.459,102.503
2,223,15.468,102.507
2,224,15.475,102.512
2,224,15.475,102.512
2,224,15.475,102.512
2,225,15.483,102.517
2,225,15.483,102.517
2,226,15.491,102.522
2,226,15.491,102.522
2,227,15.498,102.527
2,227,15.498,102.527
2,228,15.506,102.532
2,228,15.506,102.532
2,229,15.514,102.537
2,229,15.514,102.537
2,230,15.522,102.541
2,230,15.522,102.541
2,231,15.53,102.544
2,231,15.53,102.544
2,232,15.539,102.546
2,232,15.539,102.546
2,233,15.548,102.548
2,233,15.548,102.548
2,233,15.548,102.548
2,233,15.548,102.548
2,234,15.557,102.55
2,234,15.557,102.55
2,235,15.566,102.552
2,235,15.566,102.552
2,236,15.575,102.555
2,236,15.575,102.555
2,236,15.575,102.555
2,237,15.583,102.557
2,238,15.592,102.559
2,239,15.601,102.561
2,240,15.61,102.563
2,240,15.61,102.563
2,241,15.619,102.565
2,242,15.628,102.567
2,242,15.628,102.567
2,243,15.637,102.569
2,244,15.646,102.571
2,245,15.655,102.572
2,246,15.663,102.574
2,247,15.672,102.575
2,248,15.681,102.577
2,249,15.69,102.58
2,250,15.699,102.583
2,251,15.707,102.586
2,252,15.716,102.59
2,253,15.724,102.593
2,254,15.733,102.596
2,255,15.741,102.599
2,256,15.75,102.603
2,257,15.758,102.606
2,258,15.767,102.607
2,259,15.777,102.607
2,260,15.786,102.607
2,261,15.795,102.607
2,262,15.804,102.607
2,263,15.813,102.608
2,264,15.822,102.608
2,265,15.831,102.608
2,266,15.84,102.612
2,267,15.847,102.617
2,268,15.855,102.622
2,269,15.862,102.627
2,270,15.87,102.632
2,271,15.877,102.637
2,272,15.885,102.642
2,273,15.892,102.646
2,274,15.9,102.651
2,275,15.908,102.656
2,276,15.915,102.661
2,277,15.923,102.666
2,278,15.931,102.67
2,279,15.938,102.675
2,280,15.946,102.68
2,281,15.953,102.685
2,282,15.961,102.69
2,283,15.97,102.692
2,284,15.978,102.695
2,285,15.987,102.698
2,286,15.996,102.7
2,287,16.004,102.703
2,288,16.013,102.706
2,289,16.021,102.708
2,290,16.03,102.711
2,291,16.039,102.713
2,292,16.047,102.715
2,293,16.056,102.716
2,293,16.056,102.716
2,294,16.065,102.719
2,295,16.073,102.722
2,296,16.082,102.726
2,297,16.09,102.729
2,298,16.098,102.732
2,299,16.107,102.736
2,300,16.115,102.739
2,301,16.124,102.742
2,302,16.132,102.746
2,303,16.14,102.749
2,304,16.149,102.751
2,305,16.158,102.753
2,306,16.167,102.755
2,307,16.176,102.756
2,308,16.184,102.757
2,309,16.193,102.759
2,310,16.202,102.76
2,311,16.211,102.761
2,312,16.22,102.763
2,313,16.229,102.766
2,314,16.237,102.769
2,315,16.246,102.772
2,316,16.254,102.775
2,317,16.262,102.778
2,318,16.271,102.781
2,319,16.279,102.784
2,320,16.288,102.786
2,321,16.297,102.788
2,322,16.306,102.79
2,323,16.314,102.793
2,324,16.323,102.796
2,325,16.331,102.799
2,326,16.34,102.802
2,327,16.349,102.803
2,328,16.358,102.804
2,329,16.367,102.807
2,330,16.376,102.81
2,330,16.376,102.81
2,330,16.376,102.81
2,331,16.385,102.811
2,332,16.395,102.813
2,332,16.395,102.813
2,333,16.404,102.816
2,333,16.404,102.816
2,334,16.413,102.818
2,337,16.434,102.824
2,338,16.445,102.83
2,343,16.493,102.833
2,344,16.502,102.833
2,345,16.511,102.833
2,345,16.511,102.833
2,346,16.52,102.832
2,347,16.529,102.831
2,348,16.538,102.83
2,349,16.547,102.828
2,350,16.556,102.826
2,351,16.565,102.824
2,352,16.573,102.822
2,353,16.582,102.82
2,354,16.591,102.818
2,355,16.6,102.818
2,356,16.607,102.813
2,357,16.614,102.807
2,358,16.621,102.802
2,359,16.63,102.799
2,360,16.639,102.8
2,361,16.648,102.8
2,362,16.657,102.8
2,363,16.665,102.803
2,364,16.674,102.804
2,364,16.674,102.804
2,364,16.674,102.804
2,364,16.674,102.804
2,365,16.683,102.805
2,366,16.691,102.805
2,367,16.7,102.805
2,368,16.709,102.805
2,369,16.718,102.805
2,370,16.726,102.802
2,371,16.735,102.803
2,372,16.744,102.804
2,373,16.752,102.807
2,373,16.752,102.807
2,374,16.76,102.811
2,374,16.76,102.811
2,375,16.768,102.816
2,375,16.768,102.816
2,376,16.775,102.821
2,376,16.775,102.821
2,377,16.783,102.825
2,377,16.783,102.825
2,378,16.791,102.828
2,378,16.791,102.828
2,379,16.8,102.831
2,379,16.8,102.831
2,380,16.808,102.834
2,380,16.808,102.834
2,381,16.816,102.837
2,381,16.816,102.837
2,381,16.816,102.837
2,381,16.816,102.837
2,381,16.816,102.837
2,382,16.825,102.84
2,382,16.825,102.84
2,383,16.833,102.844
2,383,16.833,102.844
2,384,16.84,102.849
2,384,16.84,102.849
2,384,16.84,102.849
2,385,16.847,102.854
2,386,16.854,102.86
2,387,16.862,102.865
2,388,16.869,102.87
2,388,16.869,102.87
2,389,16.876,102.875
2,389,16.876,102.875
2,389,16.876,102.875
2,390,16.883,102.88
2,391,16.891,102.877
2,392,16.899,102.872
2,393,16.907,102.871
2,394,16.915,102.874
2,395,16.923,102.878
2,396,16.932,102.881
2,397,16.94,102.884
2,398,16.948,102.888
2,399,16.956,102.891
2,400,16.965,102.893
2,401,16.974,102.893
2,402,16.983,102.893
2,403,16.992,102.893
2,404,17.001,102.893
2,405,17.01,102.897
2,406,17.018,102.901
2,407,17.026,102.905
2,408,17.034,102.909
2,409,17.042,102.913
2,410,17.05,102.917
2,411,17.058,102.921
2,412,17.067,102.925
2,413,17.075,102.929
2,414,17.083,102.933
2,415,17.091,102.937
2,416,17.099,102.942
2,417,17.108,102.942
2,418,17.117,102.942
2,419,17.125,102.944
2,420,17.134,102.946
2,421,17.143,102.948
2,422,17.152,102.95
2,423,17.161,102.952
2,424,17.17,102.95
2,425,17.177,102.944
2,426,17.185,102.939
2,427,17.192,102.934
2,428,17.2,102.929
2,429,17.208,102.924
2,430,17.215,102.919
2,431,17.223,102.914
2,432,17.23,102.908
2,433,17.237,102.903
2,434,17.245,102.897
2,435,17.252,102.892
2,436,17.26,102.887
2,437,17.267,102.882
2,438,17.274,102.876
2,439,17.282,102.871
2,440,17.289,102.866
2,440,17.289,102.866
2,441,17.297,102.861
2,442,17.305,102.856
2,443,17.312,102.851
2,444,17.32,102.846
2,445,17.328,102.841
2,446,17.335,102.836
2,447,17.343,102.831
2,448,17.35,102.826
2,449,17.358,102.821
2,450,17.365,102.815
2,450,17.365,102.815
2,450,17.365,102.815
2,458,17.432,102.791
2,459,17.441,102.792
2,460,17.45,102.793
2,461,17.459,102.794
2,462,17.468,102.795
2,463,17.477,102.796
2,464,17.486,102.797
2,465,17.495,102.798
2,466,17.504,102.798
2,467,17.513,102.799
2,468,17.522,102.799
2,468,17.522,102.799
2,469,17.531,102.8
2,470,17.54,102.8
2,471,17.549,102.801
2,472,17.558,102.801
2,473,17.567,102.802
2,474,17.576,102.803
2,475,17.585,102.801
2,476,17.594,102.798
2,477,17.602,102.795
2,478,17.61,102.791
2,479,17.619,102.789
2,480,17.628,102.788
2,481,17.637,102.787
2,482,17.646,102.787
2,483,17.655,102.789
2,484,17.663,102.791
2,485,17.672,102.79
2,485,17.672,102.79
2,486,17.68,102.785
2,487,17.689,102.783
2,488,17.698,102.782
