rd,km,lat,lon
2,0,14.5200471699,100.914597071
2,0,14.5200471699,100.914597071
2,1,14.5206390378,100.923994102
2,2,14.5237633168,100.932477767
2,3,14.530221501199998,100.939306965
2,3,14.530221501199998,100.939306965
2,4,14.5352861962,100.947251396
2,5,14.5414718677,100.954360578
2,5,14.5414718677,100.954360578
2,5,14.5414718677,100.954360578
2,5,14.5414718677,100.954360578
2,5,14.5414718677,100.954360578
2,5,14.5414718677,100.954360578
2,5,14.5414718677,100.954360578
2,5,14.5414718677,100.954360578
2,6,14.547782895,100.961414587
2,6,14.547782895,100.961414587
2,7,14.5548149541,100.96775723
2,7,14.5548149541,100.96775723
2,7,14.5548149541,100.96775723
2,7,14.5548149541,100.96775723
2,8,14.561819946500002,100.974130065
2,8,14.561819946500002,100.974130065
2,9,14.5688455734,100.980479978
2,10,14.5736978589,100.988459338
2,10,14.5736978589,100.988459338
2,10,14.5736978589,100.988459338
2,11,14.577472686300002,100.997144308
2,11,14.577472686300002,100.997144308
2,12,14.5812468492,101.00582912
2,12,14.5812468492,101.00582912
2,12,14.5812468492,101.00582912
2,12,14.5812468492,101.00582912
2,13,14.5850224876,101.014514109
2,13,14.5850224876,101.014514109
2,14,14.588798107,101.023198752
2,14,14.588798107,101.023198752
2,14,14.588798107,101.023198752
2,14,14.588798107,101.023198752
2,15,14.5925697013,101.031885504
2,15,14.5925697013,101.031885504
2,15,14.5925697013,101.031885504
2,16,14.596415298699998,101.040538827
2,16,14.596415298699998,101.040538827
2,17,14.6001218916,101.049252779
2,18,14.6038977858,101.057937192
2,19,14.6076746346,101.066621591
2,19,14.6076746346,101.066621591
2,19,14.6076746346,101.066621591
2,19,14.6076746346,101.066621591
2,20,14.6114684853,101.075295617
2,21,14.6161377164,101.083465937
2,21,14.6161377164,101.083465937
2,21,14.6161377164,101.083465937
2,22,14.6217572557,101.091041054
2,23,14.625378496500002,101.099732062
2,24,14.6328085817,101.105565509
2,25,14.636270966,101.114342639
2,26,14.6381045568,101.123603059
2,27,14.6391904636,101.132861678
2,28,14.6383009458,101.141997716
2,29,14.6376014162,101.151081104
2,30,14.6385703351,101.159922723
2,31,14.6342057033,101.167632305
2,32,14.6282674498,101.174181345
2,33,14.630212097,101.182991265
2,34,14.6344761602,101.191123637
2,35,14.6361645798,101.200042932
