rd,km,lat,lon
1,112,14.5648900058,100.904266263
1,112,14.5648900058,100.904266263
1,113,14.5734108362,100.902249983
1,114,14.5819401017,100.900263489
1,115,14.5904750765,100.89830162
1,116,14.5990105394,100.896341483
1,117,14.6075455842,100.894379529
1,118,14.616077321,100.892403145
1,119,14.6246102905,100.890432118
1,120,14.6331442161,100.888465972
1,121,14.6416799192,100.886506943
1,122,14.6502163673,100.884551278
1,122,14.6502163673,100.884551278
1,123,14.6587322697,100.885852338
1,123,14.6587322697,100.885852338
1,124,14.667351523,100.887591167
1,125,14.675267788,100.883248931
1,126,14.6806127602,100.875808087
1,127,14.6882416908,100.870786095
1,127,14.6882416908,100.870786095
1,128,14.6961052589,100.86607678
1,129,14.700428445899998,100.858176055
1,130,14.7036442275,100.849591658
1,130,14.7036442275,100.849591658
1,131,14.706875768,100.841013263
1,132,14.7101085413,100.832435249
1,133,14.7133392464,100.823856455
1,133,14.7133392464,100.823856455
1,134,14.7167196469,100.815340164
1,135,14.7206757888,100.807070689
1,136,14.7246347539,100.798802872
1,136,14.7246347539,100.798802872
1,137,14.7285910305,100.790534972
1,138,14.7325709194,100.78222163
1,139,14.7365717195,100.773869358
1,140,14.7405697784,100.76551587
1,141,14.744570798900002,100.757163684
1,142,14.7485725285,100.748811854
1,143,14.7525689476,100.740457472
1,143,14.7525689476,100.740457472
1,144,14.756578295,100.732109324
1,145,14.7605743989,100.723756566
1,145,14.7605743989,100.723756566
1,146,14.7646091695,100.715420652
1,147,14.7686427633,100.707084188
1,148,14.7732314087,100.699079089
1,149,14.7784519705,100.69144748
1,150,14.7836563431,100.68380473
1,151,14.7888728958,100.676171077
1,152,14.7940759788,100.668527516
1,153,14.7992105802,100.660846034
1,153,14.7992105802,100.660846034
1,154,14.7997254001,100.65243951
1,155,14.8086582597,100.651027268
1,156,14.8176910724,100.649049887
1,157,14.8267228464,100.647069206
1,158,14.835758825,100.645106266
1,159,14.8447949622,100.643144491
1,160,14.853798787,100.641178889
1,161,14.862754786099998,100.639233378
1,162,14.8717105395,100.637286639
1,162,14.8717105395,100.637286639
1,163,14.8792291738,100.632580579
1,164,14.885455214,100.629222675
1,165,14.8912509247,100.622150449
1,166,14.8948673723,100.613952439
1,166,14.8948673723,100.613952439
1,167,14.9023094199,100.609511379
1,168,14.9107795487,100.606012356
1,169,14.9197318913,100.606531841
1,170,14.9286204906,100.608765042
1,171,14.9369945473,100.612116507
1,172,14.9439703872,100.618060735
1,173,14.9509489053,100.624001714
1,174,14.9579547421,100.629909358
1,175,14.9648192355,100.635974203
1,176,14.9712543748,100.6424996
1,177,14.9776928606,100.649021883
1,178,14.9846611989,100.654966019
1,179,14.9917447071,100.660780863
1,180,14.998820600999998,100.666605423
1,181,15.005858745,100.672472981
1,182,15.0129168156,100.67831926
1,183,15.0199670748,100.684174906
1,184,15.0270396908,100.690002509
1,185,15.0340840539,100.695864143
1,186,15.0411307901,100.701724154
1,187,15.0481783256,100.707583251
1,188,15.0552324897,100.713432951
1,189,15.0622300069,100.719274647
1,190,15.0696766285,100.71637961
1,190,15.0696766285,100.71637961
1,191,15.0782415995,100.713400633
1,192,15.0871563424,100.713392635
1,193,15.0961663306,100.714424571
1,193,15.0961663306,100.714424571
1,194,15.104486736099998,100.712313745
1,195,15.1121895567,100.707593
1,196,15.1205748987,100.704138961
1,197,15.1289521141,100.70066544
1,198,15.1373253116,100.697182583
1,199,15.1457010254,100.693707575
1,200,15.154069991400002,100.690214188
1,201,15.1621848709,100.686276629
1,202,15.1693084307,100.68066554
1,203,15.1778070657,100.678284932
1,204,15.1868158447,100.677243498
1,205,15.195249764200002,100.674104302
1,206,15.2034835794,100.670302784
1,207,15.2117342824,100.666488261
1,207,15.2117342824,100.666488261
1,208,15.2201902688,100.662551244
1,209,15.2286798663,100.658679898
1,210,15.2371582164,100.654788391
1,211,15.2459623379,100.651805371
1,212,15.2535531943,100.646457457
1,213,15.2611167213,100.641014247
1,214,15.2692077715,100.636365958
1,215,15.2772994681,100.631723401
1,216,15.2853859979,100.627068923
1,217,15.293460691300002,100.622393617
1,217,15.293460691300002,100.622393617
1,218,15.3007773003,100.617027235
1,219,15.303368504200002,100.608202869
1,220,15.3044283258,100.599208832
1,221,15.3055005901,100.590240702
1,221,15.3055005901,100.590240702
1,222,15.3097836955,100.582474151
1,222,15.3097836955,100.582474151
1,223,15.3179221424,100.578400647
1,223,15.3179221424,100.578400647
1,224,15.3246067832,100.572881055
1,225,15.3276283663,100.564297025
1,226,15.3305862221,100.5556906
1,227,15.3335375994,100.547081475
1,228,15.3364855447,100.538471731
1,229,15.342817169000002,100.532071394
1,230,15.3496212156,100.526027928
1,231,15.3555874943,100.519466946
1,232,15.3551878548,100.510755519
1,233,15.3514322937,100.502440595
1,233,15.3514322937,100.502440595
1,234,15.347076742,100.494358676
1,234,15.347076742,100.494358676
1,234,15.347076742,100.494358676
1,235,15.3404471738,100.489415002
1,236,15.3318002539,100.486995113
1,237,15.3238853404,100.48234193
1,238,15.3174478775,100.476105233
1,239,15.3125127047,100.468368772
1,240,15.3075806653,100.460628265
1,241,15.3026288463,100.452898897
1,242,15.2976816654,100.445164864
1,243,15.2950303899,100.43731073
1,244,15.2882508456,100.431516703
1,245,15.2897358082,100.423056682
1,246,15.2925869293,100.414327667
1,247,15.2970234468,100.406290186
1,248,15.3014484343,100.398251138
1,249,15.296410667,100.391190746
1,249,15.296410667,100.391190746
1,250,15.2896718833,100.384956509
1,251,15.2829221064,100.378731304
1,252,15.2761758145,100.37250169
1,253,15.2712424544,100.364934378
1,253,15.2712424544,100.364934378
1,254,15.2682908925,100.356636025
1,255,15.2653546595,100.348504948
1,256,15.2646945494,100.340102093
1,257,15.2623725122,100.331774783
1,258,15.2600586402,100.323443391
1,259,15.2577770732,100.315105714
1,260,15.255450194200002,100.306779471
1,260,15.255450194200002,100.306779471
1,261,15.253141266199998,100.298447184
1,262,15.2513807592,100.289985194
1,263,15.2497454467,100.281370136
1,264,15.248036353699998,100.272146113
1,265,15.2462573909,100.262933621
1,265,15.2462573909,100.262933621
1,265,15.2462573909,100.262933621
1,266,15.2444345913,100.253729175
1,266,15.2444345913,100.253729175
1,266,15.2444345913,100.253729175
1,266,15.2444345913,100.253729175
1,267,15.2427440028,100.244499478
1,268,15.2409416695,100.235290359
1,269,15.2391117265,100.22608681
1,270,15.2372122064,100.216898578
1,271,15.2348693824,100.207814483
1,271,15.2348693824,100.207814483
1,271,15.2348693824,100.207814483
1,271,15.2348693824,100.207814483
1,272,15.232764068699998,100.198670113
1,272,15.232764068699998,100.198670113
1,273,15.2307389869,100.189507665
1,274,15.228120196,100.180545021
1,275,15.222580964,100.172990915
1,276,15.2168487007,100.165562353
1,277,15.211111443699998,100.158140192
1,277,15.211111443699998,100.158140192
1,278,15.2043907271,100.151639159
1,279,15.198712185,100.14421986
1,280,15.1933309193,100.136533089
1,280,15.1933309193,100.136533089
1,280,15.1933309193,100.136533089
1,280,15.1933309193,100.136533089
1,280,15.1933309193,100.136533089
1,280,15.1933309193,100.136533089
1,281,15.1906030564,100.12925098
1,282,15.1985163761,100.124710128
1,283,15.2066640809,100.120555611
1,284,15.2148107425,100.116399101
1,285,15.222957141199998,100.112242005
1,286,15.2311012316,100.10808042
1,287,15.2392433896,100.103917981
1,288,15.247387066099998,100.099755572
1,289,15.2555311653,100.095593979
1,290,15.2638830568,100.092322915
1,290,15.2638830568,100.092322915
1,291,15.2728189873,100.094263894
1,292,15.2817596969,100.096189558
1,293,15.2906994386,100.09811964
1,294,15.299639759200002,100.100046879
1,295,15.3085792217,100.101977548
1,296,15.3175169228,100.103917124
1,297,15.3257122805,100.107604853
1,298,15.3333023868,100.112705663
1,299,15.340873578800002,100.117835697
1,299,15.340873578800002,100.117835697
1,300,15.3484458154,100.122964477
1,301,15.3564867525,100.127266534
1,302,15.3648090387,100.131058933
1,303,15.3731335448,100.13484625
1,304,15.381455794,100.138638849
1,305,15.389118805,100.143577859
1,306,15.3968838546,100.147114489
1,307,15.4057927076,100.147082408
1,308,15.414707183,100.147167733
1,309,15.423314831,100.145321535
1,310,15.4317083633,100.142332158
1,311,15.4404128072,100.143944321
1,312,15.4490738002,100.146056919
1,313,15.4578939895,100.145699787
1,314,15.4665442541,100.143544945
1,315,15.4751434264,100.141221806
1,316,15.4822744607,100.135936477
1,317,15.4896615175,100.131053219
1,318,15.497955763599998,100.127784649
1,319,15.5064336095,100.125183474
1,320,15.515277292,100.12619575
1,321,15.5241253364,100.12717177
1,322,15.532665194200002,100.124758295
1,323,15.5412398407,100.126969334
1,324,15.5499714284,100.127791446
1,325,15.5588377265,100.126860571
1,326,15.5677052481,100.125942549
1,327,15.576571773,100.125017291
1,328,15.5854360921,100.124077753
1,329,15.594305898499998,100.123185247
1,330,15.603100703,100.12222366
1,331,15.6118108107,100.121310607
1,331,15.6118108107,100.121310607
1,332,15.6204170431,100.122309354
1,333,15.6281617986,100.126386246
1,334,15.6358211854,100.130633114
1,335,15.6435740769,100.134670853
1,336,15.6520430673,100.132963121
1,336,15.6520430673,100.132963121
1,337,15.6603943524,100.130326446
1,338,15.668743349,100.127682012
1,339,15.6772167432,100.125531188
1,340,15.685842363,100.124029481
1,341,15.6944855547,100.122636197
1,342,15.7012518696,100.117318448
1,343,15.7066124952,100.110208194
1,344,15.7070207223,100.100947681
1,345,15.7072142168,100.091671856
1,346,15.7074176825,100.082396623
1,347,15.709642024,100.073565582
1,347,15.709642024,100.073565582
1,348,15.714055876400002,100.065380439
1,349,15.7184489434,100.057184104
1,349,15.7184489434,100.057184104
1,350,15.7228441843,100.04898994
