rd,km,lat,lon
1,19,13.879,100.599
1,25,13.926,100.626
1,26,13.935,100.625
1,27,13.944,100.623
1,28,13.953,100.622
1,29,13.962,100.62
1,29,13.962,100.62
1,30,13.971,100.619
1,30,13.971,100.619
1,31,13.98,100.617
1,31,13.98,100.617
1,32,13.988,100.616
1,32,13.988,100.616
1,32,13.988,100.616
1,33,13.997,100.615
1,33,13.997,100.615
1,34,14.007,100.615
1,34,14.007,100.615
1,35,14.016,100.615
1,36,14.025,100.616
1,37,14.034,100.616
1,38,14.043,100.616
1,39,14.052,100.617
1,39,14.052,100.617
1,39,14.052,100.617
1,39,14.052,100.617
1,40,14.061,100.617
1,41,14.07,100.618
1,42,14.079,100.618
1,43,14.088,100.618
1,44,14.097,100.619
1,45,14.106,100.619
1,46,14.115,100.619
1,47,14.124,100.619
1,48,14.133,100.618
1,49,14.142,100.618
1,50,14.151,100.618
1,51,14.16,100.618
1,52,14.169,100.618
1,53,14.178,100.619
1,54,14.184,100.626
1,55,14.188,100.634
1,55,14.188,100.634
1,56,14.193,100.642
1,57,14.197,100.65
1,58,14.201,100.658
1,59,14.206,100.667
1,60,14.21,100.675
1,61,14.214,100.683
1,62,14.219,100.691
1,63,14.223,100.699
1,64,14.227,100.707
1,65,14.232,100.715
1,66,14.236,100.723
1,67,14.239,100.732
1,68,14.241,100.741
1,69,14.245,100.749
1,70,14.25,100.757
1,71,14.254,100.765
1,72,14.258,100.773
1,73,14.263,100.781
1,74,14.267,100.789
1,75,14.272,100.797
1,76,14.276,100.805
1,77,14.281,100.813
1,78,14.288,100.818
1,79,14.296,100.823
1,79,14.296,100.823
1,79,14.296,100.823
1,79,14.296,100.823
1,80,14.303,100.829
1,80,14.303,100.829
1,81,14.311,100.834
1,82,14.318,100.839
1,83,14.326,100.844
1,84,14.333,100.85
1,84,14.333,100.85
1,85,14.338,100.858
1,85,14.338,100.858
1,86,14.344,100.864
1,87,14.351,100.87
1,87,14.351,100.87
1,88,14.358,100.876
1,89,14.367,100.878
1,90,14.375,100.883
1,91,14.383,100.886
1,92,14.392,100.888
1,93,14.401,100.89
1,93,14.401,100.89
1,93,14.401,100.89
1,93,14.401,100.89
1,93,14.401,100.89
1,93,14.401,100.89
1,94,14.41,100.891
1,94,14.41,100.891
1,94,14.41,100.891
1,94,14.41,100.891
1,95,14.419,100.893
1,95,14.419,100.893
1,96,14.428,100.895
1,96,14.428,100.895
1,97,14.437,100.896
1,97,14.437,100.896
1,98,14.445,100.9
1,98,14.445,100.9
1,99,14.454,100.903
1,99,14.454,100.903
1,100,14.462,100.906
1,100,14.462,100.906
1,101,14.471,100.909
1,101,14.471,100.909
1,101,14.471,100.909
1,102,14.479,100.912
1,102,14.479,100.912
1,103,14.488,100.915
1,103,14.488,100.915
1,103,14.488,100.915
1,104,14.496,100.917
1,105,14.505,100.918
1,106,14.514,100.916
1,107,14.522,100.914
1,108,14.531,100.912
1,109,14.539,100.91
1,110,14.548,100.908
1,111,14.556,100.906
1,111,14.556,100.906
1,112,14.565,100.904
1,112,14.565,100.904
1,113,14.573,100.902
1,114,14.582,100.9
1,115,14.59,100.898
1,116,14.599,100.896
1,117,14.608,100.894
1,118,14.616,100.892
1,119,14.625,100.89
1,120,14.633,100.888
1,121,14.642,100.887
1,122,14.65,100.885
1,122,14.65,100.885
1,123,14.659,100.886
1,123,14.659,100.886
1,124,14.667,100.888
1,125,14.675,100.883
1,126,14.681,100.876
1,127,14.688,100.871
1,127,14.688,100.871
1,128,14.696,100.866
1,129,14.7,100.858
1,130,14.704,100.85
1,130,14.704,100.85
1,131,14.707,100.841
1,132,14.71,100.832
1,133,14.713,100.824
1,133,14.713,100.824
1,134,14.717,100.815
1,135,14.721,100.807
1,136,14.725,100.799
1,136,14.725,100.799
1,137,14.729,100.791
1,138,14.733,100.782
1,139,14.737,100.774
1,140,14.741,100.766
1,141,14.745,100.757
1,142,14.749,100.749
1,143,14.753,100.74
1,143,14.753,100.74
1,144,14.757,100.732
1,145,14.761,100.724
1,145,14.761,100.724
1,146,14.765,100.715
1,147,14.769,100.707
1,148,14.773,100.699
1,149,14.778,100.691
1,150,14.784,100.684
1,151,14.789,100.676
1,152,14.794,100.669
1,153,14.799,100.661
1,153,14.799,100.661
1,154,14.8,100.652
1,155,14.809,100.651
1,156,14.818,100.649
1,157,14.827,100.647
1,158,14.836,100.645
1,159,14.845,100.643
1,160,14.854,100.641
1,161,14.863,100.639
1,162,14.872,100.637
1,162,14.872,100.637
1,163,14.879,100.633
1,164,14.885,100.629
1,165,14.891,100.622
1,166,14.895,100.614
1,166,14.895,100.614
1,167,14.902,100.61
1,168,14.911,100.606
1,169,14.92,100.607
1,170,14.929,100.609
1,171,14.937,100.612
1,172,14.944,100.618
1,173,14.951,100.624
1,174,14.958,100.63
1,175,14.965,100.636
1,176,14.971,100.642
1,177,14.978,100.649
1,178,14.985,100.655
1,179,14.992,100.661
1,180,14.999,100.667
1,181,15.006,100.672
1,182,15.013,100.678
1,183,15.02,100.684
1,184,15.027,100.69
1,185,15.034,100.696
1,186,15.041,100.702
1,187,15.048,100.708
1,188,15.055,100.713
1,189,15.062,100.719
1,190,15.07,100.716
1,190,15.07,100.716
1,191,15.078,100.713
1,192,15.087,100.713
1,193,15.096,100.714
1,193,15.096,100.714
1,194,15.104,100.712
1,195,15.112,100.708
1,196,15.121,100.704
1,197,15.129,100.701
1,198,15.137,100.697
1,199,15.146,100.694
1,200,15.154,100.69
1,201,15.162,100.686
1,202,15.169,100.681
1,203,15.178,100.678
1,204,15.187,100.677
1,205,15.195,100.674
1,206,15.203,100.67
1,207,15.212,100.666
1,207,15.212,100.666
1,208,15.22,100.663
1,209,15.229,100.659
1,210,15.237,100.655
1,211,15.246,100.652
1,212,15.254,100.646
1,213,15.261,100.641
1,214,15.269,100.636
1,215,15.277,100.632
1,216,15.285,100.627
1,217,15.293,100.622
1,217,15.293,100.622
1,218,15.301,100.617
1,219,15.303,100.608
1,220,15.304,100.599
1,221,15.306,100.59
1,221,15.306,100.59
1,222,15.31,100.582
1,222,15.31,100.582
1,223,15.318,100.578
1,223,15.318,100.578
1,224,15.325,100.573
1,225,15.328,100.564
1,226,15.331,100.556
1,227,15.334,100.547
1,228,15.336,100.538
1,229,15.343,100.532
1,230,15.35,100.526
1,231,15.356,100.519
1,232,15.355,100.511
1,233,15.351,100.502
1,233,15.351,100.502
1,234,15.347,100.494
1,234,15.347,100.494
